Command,Description,Syntax,Parameters,Category,Tags
ktmutil,"Starts the Kernel Transaction Manager utility. If used without parameters, ktmutil displays available subcommands.",ktmutil list tms,No description Available,Executable Utility,
ktpass,Configures the server principal name for the host or service in Active Directory Domain Services (AD DS) and generates a .keytab file that contains the shared secret key of the service. The .keytab file is based on the Massachusetts Institute of Technology (MIT) implementation of the Kerberos authentication protocol. The ktpass command-line tool allows non-Windows services that support Kerberos authentication to use the interoperability features provided by the Kerberos Key Distribution Center (KDC) service.,ktpass,"/out <filename> - Specifies the name of the Kerberos version 5 .keytab file to generate. Note: This is the .keytab file you transfer to a computer that isn't running the Windows operating system, and then replace or merge with your existing .keytab file, /Etc/Krb5.keytab.
 /princ <principalname> - Specifies the principal name in the form host/computer.contoso.com@CONTOSO.COM. Warning: This parameter is case-sensitive.
 /mapuser <useraccount> - Maps the name of the Kerberos principal, which is specified by the princ parameter, to the specified domain account.
 /mapop {ad
set} - Specifies how the mapping attribute is set.Add - Adds the value of the specified local user name. This is the default.Set - Sets the value for Data Encryption Standard (DES)-only encryption for the specified local user name.
 {
+}desonly - DES-only encryption is set by default.+ Sets an account for DES-only encryption.- Releases restriction on an account for DES-only encryption. Important: Windows doesn't support DES by default.
 /in <filename> - Specifies the .keytab file to read from a host computer that is not running the Windows operating system.
 /pass {passwor

{
+}rndpass} - Specifies a password for the principal user name that is specified by the princ parameter. Use bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt to prompt for a password.
 /minpass - Sets the minimum length of the random password to 15 characters.
 /maxpass - Sets the maximum length of the random password to 256 characters.
 /crypto {DES-CBC-CR
DES-CBC-MD
RC4-HMAC-N
AES256-SHA
AES128-SHA
All} - Specifies the keys that are generated in the keytab file:DES-CBC-CRC - Used for compatibility.DES-CBC-MD5 - Adheres more closely to the MIT implementation and is used for compatibility.RC4-HMAC-NT - Employs 128-bit encryption.AES256-SHA1 - Employs AES256-CTS-HMAC-SHA1-96 encryption. AES128-SHA1 - Employs AES128-CTS-HMAC-SHA1-96 encryption.All - States that all supported cryptographic types can be used. Note: Because the default settings are based on older MIT versions, you should always use the /crypto parameter.
 /itercount - Specifies the iteration count that is used for AES encryption. The default ignores itercount for non-AES encryption and sets AES encryption to 4,096.
 /ptype {KRB5_NT_PRINCIPA
KRB5_NT_SRV_INS
KRB5_NT_SRV_HST} - Specifies the principal type.KRB5_NT_PRINCIPAL - The general principal type (recommended).KRB5_NT_SRV_INST - The user service instance KRB5_NT_SRV_HST - The host service instance
 /kvno <keyversionnum> - Specifies the key version number. The default value is 1.
 /answer {
+} - Sets the background answer mode:- Answers reset password prompts automatically with NO.+ Answers reset password prompts automatically with YES.
 /target - Sets which domain controller to use. The default is for the domain controller to be detected, based on the principal name. If the domain controller name doesn't resolve, a dialog box will prompt for a valid domain controller.
 /rawsalt - forces ktpass to use the rawsalt algorithm when generating the key. This parameter is optional.
 {
+}dumpsalt - The output of this parameter shows the MIT salt algorithm that is being used to generate the key.
 {
+}setupn - Sets the user principal name (UPN) in addition to the service principal name (SPN). The default is to set both in the .keytab file.
 {
+}setpass <password> - Sets the user's password when supplied. If rndpass is used, a random password is generated instead.
 /? - Displays Help for this command.",System Administration,Kerberos
label,"Creates, changes, or deletes the volume label (that is, the name) of a disk. If used without parameters, the label command changes the current volume label or deletes the existing label.",label [/mp] [<volume>] [<label>],"/mp - Specifies that the volume should be treated as a mount point or volume name.
 <volume> - Specifies a drive letter (followed by a colon), mount point, or volume name. If a volume name is specified, the /mp parameter is unnecessary.
 <label> - Specifies the label for the volume.
 /? - Displays help at the command prompt.",System Administration,Disk/Volume Management
list,"Displays a list of disks, of partitions in a disk, of volumes in a disk, or of virtual hard disks (VHDs).","list { disk
 partition
 volume
 vdisk }","disk - Displays a list of disks and information about them, such as their size, amount of available free space, whether the disk is a basic or dynamic disk, and whether the disk uses the master boot record (MBR) or GUID partition table (GPT) partition style.
 partition - Displays the partitions listed in the partition table of the current disk.
 volume - Displays a list of basic and dynamic volumes on all disks.
 vdisk - Displays a list of the VHDs that are attached and/or selected. This command lists detached VHDs if they are currently selected; however, the disk type is set to Unknown until the VHD is attached. The VHD marked with an asterisk (*) has focus.",Enumeration,Disk/Volume Management
list providers,Lists shadow copy providers that are currently registered on the system.,list providers,No description Available,Enumeration,"Disk/Volume Management, Shadow"
list shadows,Lists persistent and existing non-persistent shadow copies that are on the system.,"list shadows {all
 set <setID>
 id <shadowID>}","all - Lists all shadow copies.
 set <setID> - Lists shadow copies that belong to the specified Shadow Copy Set ID.
 id <shadowID> - Lists any shadow copy with the specified shadow copy ID.",Enumeration,"Disk/Volume Management, Shadow"
list writers,"Lists writers that are on the system. If used without parameters, list displays the output for list metadata by default.","list writers [metadata
 detailed
 status]","metadata - Lists the identity and status of writers, and displays metadata such as component details and excluded files. This is the default parameter.
 detailed - Lists the same information as metadata, but also includes the full file list for all components.
 status - Lists only the identity and status of registered writers.",Enumeration,
load metadata,"Loads a metadata .cab file prior to importing a transportable shadow copy or loads the writer metadata in the case of a restore. If used without parameters, load metadata displays help at the command prompt.",load metadata [<drive>:][<path>]<metadata.cab>,"[<drive>:][<path>] - Specifies the location of the metadata file.
 metadata.cab - Specifies the metadata .cab file to load.",System Administration,"Disk/Volume Management, Shadow"
lodctr,Allows you to register or save performance counter name and registry settings in a file and designate trusted services.,lodctr <filename> [/s:<filename>] [/r:<filename>] [/t:<servicename>],"<filename> - Specifies the name of the initialization file that registers the performance counter name settings and explanatory text.
 /s:<filename> - Specifies the name of the file to which the performance counter registry settings and explanatory text are saved.
 /r - Restores counter registry settings and explanatory text from current registry settings and cached performance files related to the registry.
 /r:<filename> - Specifies the name of the file that restores the performance counter registry settings and explanatory text. Warning: If you use this command, you'll overwrite all performance counter registry settings and explanatory text, replacing them with the configuration defined in the specified file.
 /t:<servicename> - Indicates that service <servicename> is trusted.
 /? - Displays help at the command prompt.",System Administration,Performance
logman,Creates and manages Event Trace Session and Performance logs and supports many functions of Performance Monitor from the command line.,"logman [create
 query
 start
 stop
 delet
 update
 import
 export
 /?] [options]","logman-createlogman create - Creates a counter, trace, configuration data collector, or API.
 logman-querylogman query - Queries data collector properties.
 logman-start-stoplogman start
 stop - Starts or stops data collection.
 logman-deletelogman delete - Deletes an existing data collector.
 logman-updatelogman update - Updates the properties of an existing data collector.
 logman-import-exportlogman import
 export - Imports a data collector set from an XML file or export a data collector set to an XML file.",Logging,Windows Event Log
logman create,"Creates a counter, trace, configuration data collector, or API.","logman create <counter
 trace
 alert
 cfg
 api> <[-n] <name>> [options]","logman-create-counterlogman create counter - Creates a counter data collector.
 logman-create-tracelogman create trace - Creates a trace data collector.
 logman-create-alertlogman create alert - Creates an alert data collector.
 logman-create-cfglogman create cfg - Creates a configuration data collector.
 logman-create-apilogman create api - Creates an API tracing data collector.",Logging,
logman create-alert,Creates an alert data collector.,logman create alert <[-n] <name>> [options],"-s <computer name> - Perform the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -[-]u <user [password]> - Specifies the user to Run As. Entering an bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 -m <[start] [stop] [[start] [stop] [...]]> - Changes to manual start or stop instead of a scheduled begin or end time.
 -rf <[[hh:]mm:]ss> - Runs the data collector for the specified period of time.
 -b <M/d/yyyy h:mm:ss[A
PM]> - Begins collecting data at the specified time.
 -e <M/d/yyyy h:mm:ss[A
PM]> - Ends data collection at the specified time.
 -si <[[hh:]mm:]ss> - Specifies the sample interval for performance counter data collectors.
 -o <pat
dsn!log> - Specifies the output log file or the DSN and log set name in a SQL database.
 -[-]r - Repeats the data collector daily at the specified begin and end times.
 -[-]a - Appends an existing log file.
 -[-]ow - Overwrites an existing log file.
 -[-]v <nnnnn
mmddhhmm> - Attaches file versioning information to the end of the log file name.
 -[-]rc <task> - Runs the command specified each time the log is closed.
 -[-]max <value> - Maximum log file size in MB or maximum number of records for SQL logs.
 -[-]cnf <[[hh:]mm:]ss> - When time is specified, creates a new file when the specified time has elapsed. When time is not specified, creates a new file when the maximum size is exceeded.
 -y - Answers yes to all questions without prompting.
 -cf <filename> - Specifies the file listing performance counters to collect. The file should contain one performance counter name per line.
 -[-]el - Enables or disables Event Log reporting.
 -th <threshold [threshold [...]]> - Specify counters and their threshold values for an alert.
 -[-]rdcs <name> - Specifies the Data Collector Set to start when an alert fires.
 -[-]tn <task> - Specifies the task to run when an alert fires.
 -[-]targ <argument> - Specifies the task arguments to be used with the task specified using -tn.
 /? - Displays context-sensitive help.",Logging,
logman create-api,Creates an API tracing data collector.,logman create api <[-n] <name>> [options],"-s <computer name> - Performs the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -f <bi
bincirc> - Specifies the log format for the data collector.
 -[-]u <user [password]> - Specifies the user to Run As. Entering a bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 -m <[start] [stop] [[start] [stop] [...]]> - Changed to manual start or stop instead of a scheduled begin or end time.
 -rf <[[hh:]mm:]ss> - Run the data collector for the specified period of time.
 -b <M/d/yyyy h:mm:ss[A
PM]> - Begin collecting data at the specified time.
 -e <M/d/yyyy h:mm:ss[A
PM]> - End data collection at the specified time.
 -si <[[hh:]mm:]ss> - Specifies the sample interval for performance counter data collectors.
 -o <pat
dsn!log> - Specifies the output log file or the DSN and log set name in a SQL database.
 -[-]r - Repeat the data collector daily at the specified begin and end times.
 -[-]a - Append an existing log file.
 -[-]ow - Overwrite an existing log file.
 -[-]v <nnnnn
mmddhhmm> - Attaches file versioning information to the end of the log file name.
 -[-]rc <task> - Run the command specified each time the log is closed.
 -[-]max <value> - Maximum log file size in MB or maximum number of records for SQL logs.
 -[-]cnf <[[hh:]mm:]ss> - When time is specified, creates a new file when the specified time has elapsed. When time is not specified, creates a new file when the maximum size is exceeded.
 -y - Answer yes to all questions without prompting.
 -mods <path [path [...]]> - Specifies the list of modules to log API calls from.
 -inapis <module!api [module!api [...]]> - Specifies the list of API calls to include in logging.
 -exapis <module!api [module!api [...]]> - Specifies the list of API calls to exclude from logging.
 -[-]ano - Log (-ano) API names only, or do not log only (-ano) API names.
 -[-]recursive - Log (-recursive) or do not log (-recursive) APIs recursively beyond the first layer.
 -exe <value> - Specifies the full path to an executable for API Tracing.
 /? - Displays context-sensitive help.",Logging,
logman create-cfg,Creates a configuration data collector.,logman create cfg <[-n] <name>> [options],"-s <computer name> - Performs the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -[-]u <user [password]> - Specifies the user to Run As. Entering a bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 -m <[start] [stop] [[start] [stop] [...]]> - Changes to manual start or stop instead of a scheduled begin or end time.
 -rf <[[hh:]mm:]ss> - Runs the data collector for the specified period of time.
 -b <M/d/yyyy h:mm:ss[A
PM]> - Begins collecting data at the specified time.
 -e <M/d/yyyy h:mm:ss[A
PM]> - Ends data collection at the specified time.
 -si <[[hh:]mm:]ss> - Specifies the sample interval for performance counter data collectors.
 -o <pat
dsn!log> - Specifies the output log file or the DSN and log set name in a SQL database.
 -[-]r - Repeats the data collector daily at the specified begin and end times.
 -[-]a - Appends an existing log file.
 -[-]ow - Overwrites an existing log file.
 -[-]v <nnnnn
mmddhhmm> - Attaches file versioning information to the end of the log file name.
 -[-]rc <task> - Runs the command specified each time the log is closed.
 -[-]max <value> - Maximum log file size in MB or maximum number of records for SQL logs.
 -[-]cnf <[[hh:]mm:]ss> - When time is specified, creates a new file when the specified time has elapsed. When time is not specified, creates a new file when the maximum size is exceeded.
 -y - Answers yes to all questions without prompting.
 -[-]ni - Enables (-ni) or disable (-ni) network interface query.
 -reg <path [path [...]]> - Specifies registry value(s) to collect.
 -mgt <query [query [...]]> - Specifies WMI object(s) to collect using SQL query language.
 -ftc <path [path [...]]> - Specifies the full path to the file(s) to collect.
 /? - Displays context-sensitive help.",Logging,
logman create-counter,Creates a counter data collector.,logman create counter <[-n] <name>> [options],"-s <computer name> - Perform the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -f <bi
bincir
cs
ts
sql> - Specifies the log format for the data collector. The maximum log file size will be limited to 2 GB if csv is specified
 -[-]u <user [password]> - Specifies the user to Run As. Entering an bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 -m <[start] [stop] [[start] [stop] [...]]> - Changes to manual start or stop instead of a scheduled begin or end time.
 -rf <[[hh:]mm:]ss> - Runs the data collector for the specified period of time.
 -b <M/d/yyyy h:mm:ss[A
PM]> - Begins collecting data at the specified time.
 -e <M/d/yyyy h:mm:ss[A
PM]> - Ends data collection at the specified time.
 -si <[[hh:]mm:]ss> - Specifies the sample interval for performance counter data collectors.
 -o <pat
dsn!log> - Specifies the output log file or the DSN and log set name in a SQL database.
 -[-]r - Repeats the data collector daily at the specified begin and end times.
 -[-]a - Appends an existing log file.
 -[-]ow - Overwrites an existing log file.
 -[-]v <nnnnn
mmddhhmm> - Attaches file versioning information to the end of the log file name.
 -[-]rc <task> - Runs the command specified each time the log is closed.
 -[-]max <value> - Maximum log file size in MB or maximum number of records for SQL logs.
 -[-]cnf <[[hh:]mm:]ss> - When time is specified, create a new file when the specified time has elapsed. When time is not specified, create a new file when the maximum size is exceeded.
 -y - Answers yes to all questions without prompting.
 -cf <filename> - Specifies the file listing performance counters to collect. The file should contain one performance counter name per line.
 -c <path [path [ ]]> - Specifies performance counter(s) to collect.
 -sc <value> - Specifies the maximum number of samples to collect with a performance counter data collector.
 /? - Displays context-sensitive help.",Logging,
logman create-trace,Create an event trace data collector.,logman create trace <[-n] <name>> [options],"-s <computer name> - Performs the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 -ets - Sends commands to Event Trace Sessions directly without saving or scheduling.
 [-n] <name> - Name of the target object.
 -f <bi
bincirc> - Specifies the log format for the data collector.
 -[-]u <user [password]> - Specifies the user to Run As. Entering an bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 -m <[start] [stop] [[start] [stop] [...]]> - Changes to manual start or stop instead of a scheduled begin or end time.
 -rf <[[hh:]mm:]ss> - Runs the data collector for the specified period of time.
 -b <M/d/yyyy h:mm:ss[A
PM]> - Begins collecting data at the specified time.
 -e <M/d/yyyy h:mm:ss[A
PM]> - Ends data collection at the specified time.
 -o <pat
dsn!log> - Specifies the output log file or the DSN and log set name in a SQL database.
 -[-]r - Repeats the data collector daily at the specified begin and end times.
 -[-]a - Appends an existing log file.
 -[-]ow - Overwrites an existing log file.
 -[-]v <nnnnn
mmddhhmm> - Attaches file versioning information to the end of the log file name.
 -[-]rc <task> - Runs the command specified each time the log is closed.
 -[-]max <value> - Maximum log file size in MB or maximum number of records for SQL logs.
 -[-]cnf <[[hh:]mm:]ss> - When time is specified, creates a new file when the specified time has elapsed. When time is not specified, creates a new file when the maximum size is exceeded.
 -y - Answers yes to all questions without prompting.
 -ct <per
syste
cycle> - Specifies the Event Trace Session clock type.
 -ln <logger_name> - Specifies the logger name for Event Trace Sessions.
 -ft <[[hh:]mm:]ss> - Specifies the Event Trace Session flush timer.
 -[-]p <provider [flags [level]]> - Specifies a single Event Trace provider to enable.
 -pf <filename> - Specifies a file listing multiple Event Trace providers to enable. The file should be a text file containing one provider per line.
 -[-]rt - Runs the Event Trace Session in real-time mode.
 -[-]ul - Runs the Event Trace Session in user.
 -bs <value> - Specifies the Event Trace Session buffer size in kb.
 -nb <min max> - Specifies the number of Event Trace Session buffers.
 -mode <globalsequenc
localsequenc
pagedmemory> - Specifies the event trace session logger mode, including:Globalsequence - Specifies that the event tracer add a sequence number to every event it receives irrespective of which trace session received the event.Localsequence - Specifies that the event tracer add sequence numbers for events received at a specific trace session. When this option is used, duplicate sequence numbers can exist across all sessions but will be unique within each trace session.Pagedmemory - Specifies that the event tracer use paged memory rather than the default non-paged memory pool for its internal buffer allocations.
 /? - Displays context-sensitive help.",Logging,
logman delete,Deletes an existing data collector.,logman delete <[-n] <name>> [options],"-s <computer name> - Performs the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -ets - Sends commands to Event Trace Sessions directly without saving or scheduling.
 -[-]u <user [password]> - Specifies the user to Run As. Entering a bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 /? - Displays context-sensitive help.",Logging,
logman import-export,"Imports a Data Collector Set from an XML file, or exports a Data Collector Set to an XML file.",logman import <[-n] <name> <-xml <name> [options],"-s <computer name> - Perform the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -xml <name> - Name of the XML file to import or export.
 -ets - Sends commands to Event Trace Sessions directly without saving or scheduling.
 -[-]u <user [password]> - Specifies the user to Run As. Entering an bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 -y - Answers yes to all questions without prompting.
 /? - Displays context-sensitive help.",Logging,
logman query,Queries data collector or data collector set properties.,"logman query [provider
Data Collector Set name] [options]","-s <computer name> - Perform the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -ets - Sends commands to Event Trace Sessions directly without saving or scheduling.
 /? - Displays context-sensitive help.",Logging,
logman start-stop,The logman start command starts a data collector and sets the begin time to manual. The logman stop command stops a Data Collector Set and sets the end time to manual.,logman start <[-n] <name>> [options],"-s <computer name> - Perform the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Specifies the name of the target object.
 -ets - Sends commands to Event Trace Sessions directly, without saving or scheduling.
 -as - Performs the requested operation asynchronously.
 -? - Displays context-sensitive help.",Logging,
logman update,Updates an existing data collector.,"logman update <counter
 trace
 alert
 cfg
 api> <[-n] <name>> [options]","logman-update-counterlogman update counter - Updates a counter data collector.
 logman-update-alertlogman update alert - Updates an alert data collector.
 logman-update-cfglogman update cfg - Updates a configuration data collector.
 logman-update-apilogman update api - Updates an API tracing data collector.",Logging,
logman update-alert,Updates the properties of an existing alert data collector.,logman update alert <[-n] <name>> [options],"-s <computer name> - Perform the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -[-]u <user [password]> - Specifies the user to Run As. Entering an bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 -m <[start] [stop] [[start] [stop] [...]]> - Changes to manual start or stop instead of a scheduled begin or end time.
 -rf <[[hh:]mm:]ss> - Runs the data collector for the specified period of time.
 -b <M/d/yyyy h:mm:ss[A
PM]> - Begins collecting data at the specified time.
 -e <M/d/yyyy h:mm:ss[A
PM]> - Ends data collection at the specified time.
 -si <[[hh:]mm:]ss> - Specifies the sample interval for performance counter data collectors.
 -o <pat
dsn!log> - Specifies the output log file or the DSN and log set name in a SQL database.
 -[-]r - Repeats the data collector daily at the specified begin and end times.
 -[-]a - Appends an existing log file.
 -[-]ow - Overwrites an existing log file.
 -[-]v <nnnnn
mmddhhmm> - Attaches file versioning information to the end of the log file name.
 -[-]rc <task> - Runs the command specified each time the log is closed.
 -[-]max <value> - Maximum log file size in MB or maximum number of records for SQL logs.
 -[-]cnf <[[hh:]mm:]ss> - When time is specified, creates a new file when the specified time has elapsed. When time is not specified, creates a new file when the maximum size is exceeded.
 -y - Answers yes to all questions without prompting.
 -cf <filename> - Specifies the file listing performance counters to collect. The file should contain one performance counter name per line.
 -[-]el - Enables or disables Event Log reporting.
 -th <threshold [threshold [...]]> - Specify counters and their threshold values for an alert.
 -[-]rdcs <name> - Specifies the Data Collector Set to start when an alert fires.
 -[-]tn <task> - Specifies the task to run when an alert fires.
 -[-]targ <argument> - Specifies the task arguments to be used with the task specified using -tn.
 /? - Displays context-sensitive help.",Logging,
logman update-api,Updates the properties of an existing API tracing data collector.,logman update api <[-n] <name>> [options],"-s <computer name> - Performs the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -f <bi
bincirc> - Specifies the log format for the data collector.
 -[-]u <user [password]> - Specifies the user to Run As. Entering a bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 -m <[start] [stop] [[start] [stop] [...]]> - Changed to manual start or stop instead of a scheduled begin or end time.
 -rf <[[hh:]mm:]ss> - Run the data collector for the specified period of time.
 -b <M/d/yyyy h:mm:ss[A
PM]> - Begin collecting data at the specified time.
 -e <M/d/yyyy h:mm:ss[A
PM]> - End data collection at the specified time.
 -si <[[hh:]mm:]ss> - Specifies the sample interval for performance counter data collectors.
 -o <pat
dsn!log> - Specifies the output log file or the DSN and log set name in a SQL database.
 -[-]r - Repeat the data collector daily at the specified begin and end times.
 -[-]a - Append an existing log file.
 -[-]ow - Overwrite an existing log file.
 -[-]v <nnnnn
mmddhhmm> - Attaches file versioning information to the end of the log file name.
 -[-]rc <task> - Run the command specified each time the log is closed.
 -[-]max <value> - Maximum log file size in MB or maximum number of records for SQL logs.
 -[-]cnf <[[hh:]mm:]ss> - When time is specified, creates a new file when the specified time has elapsed. When time is not specified, creates a new file when the maximum size is exceeded.
 -y - Answer yes to all questions without prompting.
 -mods <path [path [...]]> - Specifies the list of modules to log API calls from.
 -inapis <module!api [module!api [...]]> - Specifies the list of API calls to include in logging.
 -exapis <module!api [module!api [...]]> - Specifies the list of API calls to exclude from logging.
 -[-]ano - Log (-ano) API names only, or do not log only (-ano) API names.
 -[-]recursive - Log (-recursive) or do not log (-recursive) APIs recursively beyond the first layer.
 -exe <value> - Specifies the full path to an executable for API Tracing.
 /? - Displays context-sensitive help.",Logging,
logman update-cfg,Updates the properties of an existing configuration data collector.,logman update cfg <[-n] <name>> [options],"-s <computer name> - Performs the command on the specified remote computer.
 -config <value> - Specifies the settings file containing command options.
 [-n] <name> - Name of the target object.
 -[-]u <user [password]> - Specifies the user to Run As. Entering a bashcmd.txt bashhelp.txt CLI_Class.docx CLI_Class.odt cmdhelp.txt CMDParse.py CMDParse.txt cmdREGEX.txt cmdURI.txt description.txt findTEST.py gtfoREGEX.txt lolbas.csv lolbasREGEX.txt Parameters.txt pshelp.txt scratch.sh Scratch.txt Syntax.txt TestDoc.txt vt wincmddb.sh wincmdlist.txt for the password produces a prompt for the password. The password is not displayed when you type it at the password prompt.
 -m <[start] [stop] [[start] [stop] [...]]> - Changes to manual start or stop instead of a scheduled begin or end time.
 -rf <[[hh:]mm:]ss> - Runs the data collector for the specified period of time.
 -b <M/d/yyyy h:mm:ss[A
PM]> - Begins collecting data at the specified time.
 -e <M/d/yyyy h:mm:ss[A
PM]> - Ends data collection at the specified time.
 -si <[[hh:]mm:]ss> - Specifies the sample interval for performance counter data collectors.
 -o <pat
dsn!log> - Specifies the output log file or the DSN and log set name in a SQL database.
 -[-]r - Repeats the data collector daily at the specified begin and end times.
 -[-]a - Appends an existing log file.
 -[-]ow - Overwrites an existing log file.
 -[-]v <nnnnn
mmddhhmm> - Attaches file versioning information to the end of the log file name.
 -[-]rc <task> - Runs the command specified each time the log is closed.
 -[-]max <value> - Maximum log file size in MB or maximum number of records for SQL logs.
 -[-]cnf <[[hh:]mm:]ss> - When time is specified, creates a new file when the specified time has elapsed. When time is not specified, creates a new file when the maximum size is exceeded.
 -y - Answers yes to all questions without prompting.
 -[-]ni - Enables (-ni) or disable (-ni) network interface query.
 -reg <path [path [...]]> - Specifies registry value(s) to collect.
 -mgt <query [query [...]]> - Specifies WMI object(s) to collect using SQL query language.
 -ftc <path [path [...]]> - Specifies the full path to the file(s) to collect.
 /? - Displays context-sensitive help.",Logging,
