"Command","Description","Syntax","Parameters","Links","Category","Tags"
"Get-NetAdapter","Get the basic network adapter properties.","Not Available","Not Available","Not Available","Enumeration, Networking",
"Set-NetAdapter","Set the basic network adapter properties.","Not Available","Not Available","Not Available","Networking",
"Disable-NetAdapterBinding","Disable a binding to a network adapter.","Not Available","Not Available","Not Available","Networking",
"Get-NetAdapterVmq","Get the VMQ properties of a network adapter.","Not Available","Not Available","Not Available","Networking",
"Set-NetAdapterVmq","Set the VMQ properties of a network adapter.","Not Available","Not Available","Not Available","Networking",
"Test-NetConnection","Display diagnostic information for a connection."," Test-NetConnection [[-ComputerName] <i>String</i>]
 <b>{</b> [-CommonTCPPort] <i>String</i> <b>|</b> -Port <i>Int32</i> <b>}</b>
 [-InformationLevel <i>String</i>]
 [<i><a href=""common.html"">CommonParameters</a></i>]
 Test-NetConnection [[-ComputerName] <i>String</i>]
 [-TraceRoute] [-Hops <i>Int32</i>]
 [-InformationLevel <i>String</i>]
 [<i><a href=""common.html"">CommonParameters</a></i>]
 Test-NetConnection [[-ComputerName] <i>String</i>]
 [-DiagnoseRouting] [-ConstrainSourceAddress <i>String</i>] [-ConstrainInterface <i>UInt32</i>]
 [-InformationLevel <i>String</i>]
 [<i><a href=""common.html"">CommonParameters</a></i>]
"," -ComputerName
 The Domain Name System (DNS) name or IP address of the target computer.
 -CommonTCPPort
 The common service TCP port number.
 Accepted values: SMB HTTP RDP WINRM
 -ConstrainInterface 
 The interface constraint to use for route diagnostics.
 -ConstrainSourceAddress 
 The source address constraint to use for route diagnostics.
 -DiagnoseRouting
 Indicates that route diagnostics runs to output the route and source address selection information for the remote host.
 -Hops
 The number of hops to traverse in a trace route command.
 -InformationLevel 
 The information level.
 Accepted values: 
 &#8226; Detailed
 &#8226; Quiet If you set this parameter to Quiet, the cmdlet returns basic information.
 For example, for a ping test, this cmdlet returns a Boolean value that indicates whether
 the attempt to ping a host or port is successful.
 -Port
 The TCP port number on the remote computer.
 The cmdlet uses this port number to test connectivity to the remote computer.
 -TraceRoute
 Indicates that Tracert runs to test connectivity to the remote host.
","https://ss64.com/ps/test-netconnection.html","Networking",
"Get-NetConnectionProfile","Get a connection profile.","Not Available","Not Available","Not Available","Enumeration, Networking",
"Set-NetConnectionProfile","Set a connection profile.","Not Available","Not Available","Not Available","Networking",
"Set-NetFirewallProfile","Configure per-profile settings of Windows Firewall.","Not Available","Not Available","Not Available","Networking",
"Enable-NetFirewallRule","Enable a previously disabled firewall rule.","Not Available","Not Available","Not Available","Networking",
"Set-NetFirewallRule","Modify existing firewall rules.","Not Available","Not Available","Not Available","Networking",
"Get-NetFirewallRule","Retrieve firewall rules from the target computer.","Not Available","Not Available","Not Available","Enumeration, Networking",
"New-NetFirewallRule","Create a new firewall rule and add to a target computer.","Not Available","Not Available","Not Available","Networking",
"Get-NetIPAddress","Get IP address configuration."," Get-NetIPAddress [[-IPAddress] <i>String</i>[]&gt;] [-InterfaceIndex <i>UInt32</i>[]] [-InterfaceAlias <i>String</i>[]]
 [-AddressFamily <i>AddressFamily</i>[]] [-Type <i>Type</i>[]] [-PrefixLength <i>Byte</i>[]] [-PrefixOrigin <i>PrefixOrigin</i>[]]
 [-SuffixOrigin <i>SuffixOrigin</i>[]&gt;] [-AddressState <i>AddressState</i>[]] [-ValidLifetime <i>TimeSpan</i>[]]
 [-PreferredLifetime <i>TimeSpan</i>[]&gt;] [-SkipAsSource <i>Boolean</i>[]] [-AssociatedIPInterface <i>CimInstance</i>]
 [-PolicyStore <i>String</i>] [-IncludeAllCompartments] [-CimSession <i>CimSession</i>[]] [-ThrottleLimit <i>Int32</i>]
 [-AsJob] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -AddressFamily
 Gets the IP address configurations that match the address families.
 Accepted values: IPv4, IPv6 (either or both as an array).
 -AddressState
 An array of duplicate address detection (DAD) state values for the IP address.
 Use this parameter to filter the output based on addresses that are valid and available for use.
 Accepted values: 
 -- Invalid. IP address configuration information for addresses that are not valid and will not be used.
 -- Tentative. IP address configuration information for addresses that are not used for communication,
 as the uniqueness of those IP addresses is being verified.
 -- Duplicate. IP address configuration information for addresses for which a duplicate IP address has been
 detected and the current IP address will not be used.
 -- Deprecated. IP address configuration information for addresses that will no longer be used to establish new
 connections, but will continue to be used with existing connections.
 -- Preferred. IP address configuration information for addresses that are valid and available for use.
 -AsJob
 Run the cmdlet as a background job. Use this parameter to run commands that take a long time to complete.
 -AssociatedIPInterface
 Specify an IP interface as a CIM object. To obtain an IP interface, use the Get-NetIPInterface cmdlet.
 -CimSession
 Run the cmdlet in a remote session or on a remote computer.
 Enter a computer name or a session object, such as the output of a Get-CimSession cmdlet.
 The default is the current session on the local computer.
 -IncludeAllCompartments
 Indicates that the cmdlet includes addresses from all configured network compartments.
 If you do not specify this parameter, the cmdlet gets only addresses in the default network compartment.
 -InterfaceAlias
 Specifies an array of aliases of network interfaces. The cmdlet gets IP addresses that match the aliases.
 -InterfaceIndex
 Specifies an array of indexes of network interfaces. The cmdlet gets IP addresses that match the indexes.
 -IPAddress
 Specifies an array of IPv4 or IPv6 addresses.
 -PolicyStore
 Specifies a PolicyStore value.
 Accepted values:
 <u>ActiveStore</u> The IP address information is valid.
 PersistentStore The computer saves IP address information across restarts.
 When the computer restarts, it copies the saved settings to the ActiveStore.
 The default value is ActiveStore.
 -PreferredLifetime
 Specifies an array of values of preferred lifetimes, as TimeSpan objects, for an IP address.
 To obtain a TimeSpan object, use the New-TimeSpan cmdlet.
 -PrefixLength
 Specifies an array of prefix lengths. This parameter defines the local subnet size, and is also known as a subnet mask.
 -PrefixOrigin
 Specifies an array of origins for address prefixes. IP addresses are divided into two parts, the prefix and the suffix.
 The address prefix identifies the network portion of an IP address, and the address suffix identifies the host portion.
 Accepted values:
 Manual The IP address prefix was manually specified. 
 WellKnown The IP address prefix is from a well-known source. 
 DHCP The IP address prefix was provided by DHCP settings. 
 RouterAdvertisement The IP address prefix was obtained through a router advertisement (RA). 
 Other The IP address prefix was obtained from another source, such as a VPN.
 -SkipAsSource
 Indicates whether an address is a primary IP address.
 This parameter identifies the primary IP address for outgoing traffic in a multiple IP address scenario.
 If this parameter is set to True, the addresses are not used for outgoing traffic and are not registered in DNS.
 -SuffixOrigin
 Specifies an array of origins for address suffixes.
 IP addresses are divided into two parts, the prefix and the suffix.
 The address prefix identifies the network portion of an IP address, and the address suffix identifies the host portion. 
 Accepted values:
 Manual The IP address suffix was manually specified.
 WellKnown The IP address suffix is from a well-known source.
 DHCP The IP address suffix was provided by DHCP settings.
 Link The IP address suffix was obtained from the link-layer address.
 Random The IP address suffix was obtained from a random source.
 Other The IP address suffix was obtained from another source, such as a VPN.
 -ThrottleLimit
 Specifies the maximum number of concurrent operations that can be established to run the cmdlet.
 If this parameter is omitted or a value of 0 is entered, then PowerShell calculates an optimum throttle limit for
 the cmdlet based on the number of CIM cmdlets that are running on the computer.
 The throttle limit applies only to the current cmdlet, not to the session or to the computer.
 -Type
 Specifies an array of IP address types.
 Accepted values: <u>Unicast</u> or Anycast, default = Unicast.
 -ValidLifetime
 Specifies an array of values for valid lifetimes, as TimeSpan objects, for an IP address.
 To obtain a TimeSpan object, use the New-TimeSpan cmdlet.
","https://ss64.com/ps/get-netipaddress.html","Enumeration, Networking",
"New-NetIPAddress","Create and configure an IP address.","Not Available","Not Available","Not Available","Networking",
"Remove-NetIPAddress","Remove an IP address and its configuration.","Not Available","Not Available","Not Available","Networking",
"Set-NetIPAddress","Modify the configuration of an IP address.","Not Available","Not Available","Not Available","Networking",
"Get-NetIPConfiguration","Get IP network configuration."," Get-NetIPConfiguration [[-InterfaceAlias] <i>String</i>] [-AllCompartments] [-CompartmentId <i>Int32</i>]
 [-Detailed] [-CimSession <i>CimSession</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 Get-NetIPConfiguration <b>-InterfaceIndex</b> <i>Int32</i> [-AllCompartments] [-CompartmentId <i>Int32</i>]
 [-Detailed] [-CimSession <i>CimSession</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 Get-NetIPConfiguration [-All] [-AllCompartments] [-CompartmentId <i>Int32</i>]
 [-Detailed] [-CimSession <i>CimSession</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -All
 Retrieve the IP configuration properties for all of the interfaces on a computer,
 including virtual interfaces, loopback interfaces, and disconnected interfaces.
 -AllCompartments
 Get the IP configuration properties for all of the compartments on a computer.
 -CimSession
 Run the cmdlet in a remote session or on a remote computer. Enter a computer name or a session object, such
 as the output of a Get-CimSession cmdlet. The default is the current session on the local
 computer.
 -CompartmentId
 Specifies an identifier for network compartment in the protocol stack.
 By default, the cmdlet gets Net IP configuration in the default compartment.
 If you specify a value for this parameter, the cmdlet gets any matching Net IP configuration in the
 compartment specified in this field.
 -Detailed
 Retrieve additional interface and computer configuration information, including the computer name,
 link layer address, network profile, MTU length, and DHCP status.
 -InterfaceAlias
 An alias of a network interface. The cmdlet gets an IP configuration that matches the alias.
 -InterfaceIndex
 An index of a network interface. The cmdlet gets an IP configuration that matches the index.
","https://ss64.com/ps/get-netipconfiguration.html","Enumeration, Networking",
"Get-NetIPInterface","Get an IP interface.","Not Available","Not Available","Not Available","Enumeration, Networking",
"Set-NetIPInterface","Modify an IP interface.","Not Available","Not Available","Not Available","Networking",
"New-NetLbfoTeam","Create a new NIC team.","Not Available","Not Available","Not Available","Networking",
"New-NetNat","Create a NAT object.","Not Available","Not Available","Not Available","Networking",
"New-NetRoute","Create a route in the IP routing table.","Not Available","Not Available","Not Available","Networking",
"Get-NetTCPConnection","Get TCP connections."," Get-NetTCPConnection [[-LocalAddress] <i>String</i>[]] [[-LocalPort] <i>UInt16</i>[]] [-AppliedSetting <i>AppliedSetting</i>[]]
 [-CimSession <i>CimSession</i>[]] [-CreationTime <i>DateTime</i>[]] [-OffloadState <i>OffloadState</i>[]]
 [-OwningProcess <i>UInt32</i>[]] [-RemoteAddress <i>String</i>[]] [-RemotePort <i>UInt16</i>[]]
 [-State <i>State</i>[]] [-ThrottleLimit <i>Int32</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -AppliedSetting [<i>AppliedSetting</i>[]]
 An array of values of applied settings. Gets connections that match the settings specified.
 Accepted values: 
 &#8226; Internet
 &#8226; Datacenter
 &#8226; Compat
 &#8226; Custom
 -CimSession [<i>CimSession</i>[]]
 Run the cmdlet in a remote session or on a remote computer. Enter a computer name or a session object, such 
 as the output of a Get-CimSession cmdlet. The default is the current session on the local 
 computer.
 -CreationTime [<i>DateTime</i>[]]
 An array of DateTime objects. To get a DateTime object, use the Get-Date cmdlet.
 -LocalAddress [<i>String</i>[]]
 An array of local IP addresses. Gets connections for the addresses that you specify.
 -LocalPort [<i>UInt16</i>[]]
 An array of local ports. Gets connections for the ports that you specify.
 -OffloadState [<i>OffloadState</i>[]]
 The offload state of a TCP connection.
 -OwningProcess [<i>UInt32</i>[]]
 The PID of the owning process of a TCP connection.
 -RemoteAddress [<i>String</i>[]]
 An array of remote IP addresses. Gets connections for the addresses that you specify.
 -RemotePort [<i>UInt16</i>[]]
 An array of remote ports. Gets connections for the ports that you specify.
 -State [<i>State</i>[]]
 Get connections that match the states that you specify. Specifies an array of TCP states. 
 Accepted values: 
 &#8226; Closed
 &#8226; CloseWait
 &#8226; Closing
 &#8226; DeleteTCB
 &#8226; Established
 &#8226; FinWait1
 &#8226; FinWait2
 &#8226; LastAck
 &#8226; Listen
 &#8226; SynReceived
 &#8226; SynSent
 &#8226; TimeWait
 -ThrottleLimit
 The maximum number of concurrent operations that can be established to run the cmdlet. If this 
 parameter is omitted or a value of 0 is entered, then PowerShell will calculate an optimum throttle limit 
 for the cmdlet based on the number of CIM cmdlets that are running on the computer.
 The throttle limit applies only to the current cmdlet, not to the session or to the computer.
","https://ss64.com/ps/get-nettcpconnection.html","Enumeration, Networking",
"Set-NetTCPSetting","Modify a TCP setting."," Set-NetTCPSetting <b>{</b> [[-SettingName] <i>String</i>[]] <b>|</b> -InputObject <i>CimInstance</i>[] <b>}</b>
 [-AutoReusePortRangeNumberOfPorts <i>UInt16</i>] [-AutoReusePortRangeStartPort <i>UInt16</i>]
 [-AutoTuningLevelLocal <i>AutoTuningLevelLocal</i>] [-AutomaticUseCustom <i>AutomaticUseCustom</i>]
 [-CimSession <i>CimSession</i>[]] [-CongestionProvider <i>CongestionProvider</i>] [-CwndRestart <i>CwndRestart</i>]
 [-DelayedAckFrequency <i>Byte</i>] [-DelayedAckTimeoutMs <i>UInt32</i>] [-DynamicPortRangeStartPort <i>UInt16</i>]
 [-DynamicPortRangeNumberOfPorts <i>UInt16</i>] [-EcnCapability <i>EcnCapability</i>] [-ForceWS <i>ForceWS</i>]
 [-InitialCongestionWindowMss <i>UInt32</i>] [-InitialRtoMs <i>UInt32</i>] [-MaxSynRetransmissions <i>Byte</i>]
 [-MemoryPressureProtection <i>MemoryPressureProtection</i>] [-MinRtoMs <i>UInt32</i>]
 [-Timestamps <i>Timestamps</i>] [-ScalingHeuristics <i>ScalingHeuristics</i>]
 [-NonSackRttResiliency <i>NonSackRttResiliency</i>] [-ThrottleLimit <i>Int32</i>] [-AsJob] [-PassThru]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -AsJob
 Run the cmdlet as a background job. Use this parameter to run commands that take a long time to complete.
 -AutomaticUseCustom
 Whether the automatic profile assigns a custom template, either Datacenter Custom or Internet Custom,
 to a connection. The acceptable values for this parameter are: Enabled or Disabled.
 -AutoReusePortRangeNumberOfPorts
 The number of ports for the auto-reuse port range, which is a port range used for local ephemeral
 port selection by outbound TCP connections for which either SO_REUSE_UNICASTPORT has been set on the socket,
 or for which connect() has been called without calling bind() on the socket.
 If you specify 0, the auto-reuse feature is disabled and ephemeral ports are drawn instead from the dynamic port range
 as specified by DynamicPortRangeStartPort and DynamicPortRangeNumberOfPorts, even if SO_REUSE_UNICASTPORT is set on a socket.
 -AutoReusePortRangeStartPort
 The number of ports for the auto-reuse port range, which is a port range used for local ephemeral
 port selection by outbound TCP connections for which either SO_REUSE_UNICASTPORT has been set on the socket,
 or for which connect() has been called without calling bind() on the socket.
 If you specify 0, the auto-reuse feature is disabled and ephemeral ports are drawn instead from the dynamic port range
 as specified by DynamicPortRangeStartPort and DynamicPortRangeNumberOfPorts, even if SO_REUSE_UNICASTPORT is set on a socket.
 -AutoTuningLevelLocal
 A TCP auto-tuning level for the host computer.
 TCP auto-tuning can improve throughput on high throughput, high latency networks.
 Accepted values for this are:
 &#8226; Disabled. Sets the TCP receive window to the default value.
 &#8226; HighlyRestricted. Sets the TCP receive window to grow beyond the default value, but very conservatively.
 &#8226; Restricted. Sets the TCP receive window to grow beyond the default value, but less conservatively than HighlyRestricted.
 &#8226; Normal. Sets the TCP receive window to grow to accommodate almost all scenarios.
 &#8226; Experimental. Sets the TCP receive window to grow to accommodate extreme scenarios.
 -CimSession
 Run the cmdlet in a remote session or on a remote computer.
 Enter a computer name or a session object, such as the output of RFC 1323.
 The accepted values are: Enabled or Disabled
 -Confirm
 Prompt for confirmation before executing the command.
 -WhatIf
 Describe what would happen if you executed the command, without actually executing the command.
","https://ss64.com/ps/set-nettcpsetting.html","Networking",
"Group-Object","Group objects that contain the same value."," Group-Object [-AsHashTable] [-AsString] [[-property] <i>Object</i>[]]
 [-caseSensitive] [-noElement] [-culture <i>string</i>]
 [-inputObject <i>psobject</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -AsHashTable
 Return the group as a pipe them to Group-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
","https://ss64.com/ps/group-object.html","System Utility",
"group","Group objects that contain the same value."," Group-Object [-AsHashTable] [-AsString] [[-property] <i>Object</i>[]]
 [-caseSensitive] [-noElement] [-culture <i>string</i>]
 [-inputObject <i>psobject</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -AsHashTable
 Return the group as a pipe them to Group-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
","https://ss64.com/ps/group-object.html","System Utility",
"Measure-Object","Measure the properties of an object."," Measure-Object [ [-property] <i>string</i>[] ] [-inputObject <i>psobject</i>]
 [-average] [-sum] [-minimum] [-maximum] [-StandardDeviation] [-AllStats]
 [<i><a href=""common.html"">CommonParameters</a></i>]
 Measure-Object [ [-property] <i>string</i>[] ] [-inputObject <i>psobject</i>]
 [-character] [-line] [-word] [-ignoreWhiteSpace]
 [<i><a href=""common.html"">CommonParameters</a></i>]
"," -property <i>string</i>[]
 The property to measure.
 -AllStats
 Return all the statistics (average,sum,minimum,maximum,StandardDeviation) PowerShell 6+.
 -average 
 Average the values in the designated property.
 -character
 Count the number of characters in the input object.
 -inputObject 
 The object(s) to be measured. 
 A command, expression or variable that contains the object(s).
 When the -InputObject parameter is used to submit a collection of items,
 Measure-Object receives one object that represents the collection.
 Because one collection object cannot be measured, Measure-Object returns the entire collection unchanged.
 To convert multiple items, pipe them to Measure-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
 -ignoreWhiteSpace 
 Ignore white space in word counts and character counts.
 -line 
 Count the number of lines in the input object.
 -minimum 
 Determine the minimum value of the properties.
 -maximum 
 Determine the maximum value of the properties.
 -StandardDeviation
 Determine the standard deviation of the properties. PowerShell 6+.
 -sum
 Sum the values of the properties.
 -word 
 Count the number of words in the input object.
","https://ss64.com/ps/measure-object.html","System Utility",
"New-Object","Create a new .Net object."," New-Object [-comObject] <i>string</i>[] [-strict] 
 [-Property <i>hashtable</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 New-Object [-typeName] <i>string</i>[] [[-argumentList] <i>Object[]</i>]
 [-Property <i>hashtable</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -argumentList <i>Object</i>
 A comma separated list of arguments to pass to the constructor of the .Net class.
 -comObject <i>string</i>
 Programmatic Identifier (ProgID) of the COM object.
 -Property <i>hashtable</i> Set property values and invokes methods of the new object.
 Enter a hash table in which the keys are the names of properties or methods and
 the values are property values or method arguments. New-Object creates the object and
 sets each property value and invokes each method in the order that they appear in the hash table.
 If the new object is derived from the PSObject class, a property is specified that
 does not exist on the object, it will be added to the object as a NoteProperty.
 If the object is not a PSObject, the command generates a non-terminating error.
 -strict 
 Raise an error if the COM object that you attempt to
 create uses an interop assembly.
 This enables you to distinguish actual COM objects from
 .Net objects with COM-callable wrappers.
 -typeName <i>string</i>
 The fully-qualified name of the .Net class.
 <p>The New-Object cmdlet allows you to create a new instance of a .Net or COM object, PowerShell also allows you to create custom objects for your own collections of data items.</p>
 <p>Create a SendKeys(&quot;Hello 123&quot;)
 }
","https://ss64.com/ps/new-object.html","System Utility",
"Select-Object","Select properties of objects."," Select-Object [[-property] <i>Object</i>[]] [-excludeProperty <i>string</i>[]]
 [-expandProperty <i>string</i>] [-first <i>int</i>] [-last <i>int</i>]
 [-Skip <i>int</i>] [-unique] [-inputObject <i>psobject</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 Select-Object [-Index <i>Int32</i>[]] [-InputObject <i>psobject</i>] [-Unique] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Property <i>Object</i>[]
 The property or properties to select.
 -ExcludeProperty <i>string</i>
 Properties that will not be selected.
 
 -ExpandProperty <i>string</i>
 Select and expand the specified property. If the specified property is 
 an array, for example, each value of the array should be included.
 -First <i>int</i>
 Select <i>int</i> number of objects from the beginning of an array of input objects.
 
 -Last <i>int</i>
 Select <i>int</i> number of objects from the end of an array of input objects.
 -Skip <i>int</i>
 Skip (do not select) the specified number of items.
 By default, the Skip parameter counts from the beginning of the array
 or list of objects, but if the command uses the Last parameter, it
 counts from the end of the list or array.
 Unlike the Index parameter, which starts counting from 0, the Skip parameter begins at 1.
 -Unique 
 Select unique objects only, (identical properties and values)
 -InputObject <i>psobject</i>
 An object or objects to input to Select-Object.
 When the -InputObject parameter is used to submit a collection of items, Select-Object receives
 one object that represents the collection and returns the collection unchanged.
 To select multiple individual items, pipe them to Select-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
 -Index <i>Int32</i>[]
 Select objects from an array based on their index values.
 Enter the indexes in a comma-separated list.
 Indexes in an array begin with 0, where 0 represents the first value
 and (n-1) represents the last value.
","https://ss64.com/ps/select-object.html","System Utility",
"select","Select properties of objects."," Select-Object [[-property] <i>Object</i>[]] [-excludeProperty <i>string</i>[]]
 [-expandProperty <i>string</i>] [-first <i>int</i>] [-last <i>int</i>]
 [-Skip <i>int</i>] [-unique] [-inputObject <i>psobject</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 Select-Object [-Index <i>Int32</i>[]] [-InputObject <i>psobject</i>] [-Unique] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Property <i>Object</i>[]
 The property or properties to select.
 -ExcludeProperty <i>string</i>
 Properties that will not be selected.
 
 -ExpandProperty <i>string</i>
 Select and expand the specified property. If the specified property is 
 an array, for example, each value of the array should be included.
 -First <i>int</i>
 Select <i>int</i> number of objects from the beginning of an array of input objects.
 
 -Last <i>int</i>
 Select <i>int</i> number of objects from the end of an array of input objects.
 -Skip <i>int</i>
 Skip (do not select) the specified number of items.
 By default, the Skip parameter counts from the beginning of the array
 or list of objects, but if the command uses the Last parameter, it
 counts from the end of the list or array.
 Unlike the Index parameter, which starts counting from 0, the Skip parameter begins at 1.
 -Unique 
 Select unique objects only, (identical properties and values)
 -InputObject <i>psobject</i>
 An object or objects to input to Select-Object.
 When the -InputObject parameter is used to submit a collection of items, Select-Object receives
 one object that represents the collection and returns the collection unchanged.
 To select multiple individual items, pipe them to Select-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
 -Index <i>Int32</i>[]
 Select objects from an array based on their index values.
 Enter the indexes in a comma-separated list.
 Indexes in an array begin with 0, where 0 represents the first value
 and (n-1) represents the last value.
","https://ss64.com/ps/select-object.html","System Utility",
"Sort-Object","Sort objects by property value."," Sort-Object [[-property] <i>Object</i>[]] [-inputObject <i>psobject</i>] [-culture <i>string</i>]
 [-caseSensitive] [-unique] [-descending] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Property <i>Object</i>
 A property or properties to use when sorting. Wildcards are permitted. 
 Objects are sorted based on the values of these properties.
 Multiple properties may be specified, the objects will be sorted by 
 each property in turn. i.e Surname and then FirstName
 If not property is specified, sort-object will sort using the default
 property for the object type.
 -CaseSensitive
 Sort UPPER and lower case letters separately.
 -Culture <i>string</i>
 The cultural/country configuration to use when sorting.
 -Descending 
 Sort in descending order. The Descending parameter applies to all properties.
 To sort by some properties in ascending order and others in descending order, 
 specify their property values with a hash table.
 -InputObject <i>psobject</i>
 The objects to be sorted.
 When the -InputObject parameter is used to submit a collection of items,
 Sort-Object receives one object that represents the collection.
 Because one object cannot be sorted, Sort-Object returns the entire collection unchanged.
 To sort multiple items, pipe them to Sort-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
 -Unique 
 Return only the unique values.
","https://ss64.com/ps/sort-object.html","System Utility",
"sort","Sort objects by property value."," Sort-Object [[-property] <i>Object</i>[]] [-inputObject <i>psobject</i>] [-culture <i>string</i>]
 [-caseSensitive] [-unique] [-descending] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Property <i>Object</i>
 A property or properties to use when sorting. Wildcards are permitted. 
 Objects are sorted based on the values of these properties.
 Multiple properties may be specified, the objects will be sorted by 
 each property in turn. i.e Surname and then FirstName
 If not property is specified, sort-object will sort using the default
 property for the object type.
 -CaseSensitive
 Sort UPPER and lower case letters separately.
 -Culture <i>string</i>
 The cultural/country configuration to use when sorting.
 -Descending 
 Sort in descending order. The Descending parameter applies to all properties.
 To sort by some properties in ascending order and others in descending order, 
 specify their property values with a hash table.
 -InputObject <i>psobject</i>
 The objects to be sorted.
 When the -InputObject parameter is used to submit a collection of items,
 Sort-Object receives one object that represents the collection.
 Because one object cannot be sorted, Sort-Object returns the entire collection unchanged.
 To sort multiple items, pipe them to Sort-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
 -Unique 
 Return only the unique values.
","https://ss64.com/ps/sort-object.html","System Utility",
"Where-Object","Filter the objects passed along the command pipeline."," Where-Object [-filterScript] {<i>scriptblock</i>}
 [-inputObject <i>psobject</i>] [CommonParameters]
 Key
 <pre>Syntax
 <i>command</i> | <b>Where</b> <i>test1</i> [<i>conjunction test2</i>] 
 Key
 <p class=""space""><a href=""syntax-regex.html"">PowerShell Syntax - Regular Expressions</a><br>
"," -FilterScript <i>scriptblock</i>
 An expression that resolves to a Boolean (TRUE/FALSE) value.
 This will determine which input objects will be passed along the command pipeline.
 -inputObject <i>psobject</i>
 The objects to be filtered. Typically objects are passed through the pipeline.
 When the -InputObject parameter is used to submit a collection of items,
 Where-Object receives one object that represents the collection.
 Because one collection object cannot be filtered, Where-Object returns the entire collection unchanged.
 To convert multiple items, pipe them to Where-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
 <p>The '?' symbol and Where are both aliases for Where-Object. 
 Key
 <i>conjunction</i> Any of the following: (logical boolean operators) 
 -and, -or (Logical or), -bor (Bitwise or), -band (Bitwise and), -xor 
 <i>Test1</i> An expression that resolves to a Boolean (TRUE/FALSE) value.
 <i>Test2</i> An expression that resolves to a Boolean (TRUE/FALSE) value.
 comparison operators
","https://ss64.com/ps/where-object.html","System Utility",
"Add-OdbcDsn","Add an ODBC DSN.","Not Available","Not Available","Not Available","System Utility",
"Out-Default","Set the destination of default output."," Out-Default [-inputObject <i>psobject</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -inputObject The input item {may be piped}
","https://ss64.com/ps/out-default.html","System Utility",
"Out-File","Send output to a file."," Out-File [-filePath] <i>string</i> [[-encoding] <i>string</i>]
 [-append] [-width <i>int</i>] [-inputObject <i>psobject</i>]
 [-force] [-noClobber] [-whatIf]
 [-confirm] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -filePath <i>path</i>
 The path to the output file. 
 
 -encoding <i>string</i>
 The character encoding used in the file. 
 '<u>Unicode</u>', 'UTF7', 'UTF8', 'UTF32', 'ASCII', 'BigEndianUnicode',
 'Default', or 'OEM'. The default is Unicode (UTF-16LE).
 Choosing 'Default' will set to the system ANSI code page. 
 Choosing 'OEM' will set to the OEM code page identifier for the OS.
 -append 
 Add the output to the end of an existing file, instead of replacing the file contents.
 You need to ensure the -encoding matches any existing content in the target file
 -width <i>int</i>
 The number of characters in each line of output. Any additional
 characters are truncated, not wrapped. If you omit this parameter, 
 the width is determined by the characteristics of the host. The default 
 for the PowerShell.exe host is 80 (characters).
 -inputObject <i>psobject</i>
 The object to be written to file. {may be piped}
 A command, expression or variable that contains the objects.
 -force 
 Override restrictions that prevent the command from succeeding, apart
 from security settings. e.g. Force will create file path directories 
 or override a files read-only attribute, but will not change file permissions.
 
 -noClobber 
 Do not overwrite (replace the contents) of an existing file. 
 By default Out-File will overwrite an existing file without warning.
 If both -Append and -NoClobber are specified, the output is appended.
 
 -whatIf
 Describe what would happen if you executed the command without
 actually executing the command.
 
 -confirm
 Prompt for confirmation before executing the command.
","https://ss64.com/ps/out-file.html","System Utility, File Manipulation",
